epd_week,cases,male,female,primary_incomplete,primary_complete,	lower_secondary_incomplete,lower_secondary_complete,upper_secondary_incomplete,	upper_secondary_complete,	higher_education_incomplete,higher_education_complete,age_0,age_1_4,age_5_9,age_10_14,age_15_19,	age_20_39,age_40_59,	age_60_64,age_65_69,	age_70_79,age_80_plus,hospitalization_yes,	hospitalization_no,clin_epi,laboratory_cases,cases_cured,	autochthonous_yes,autochthonous_no
week 22,36,17,19,0,1,0,0,0,4,1,0,0,1,4,0,7,11,8,2,3,0,0,0,19,0,32,32,23,9
week 23,40,22,18,0,2,2,0,2,2,1,1,2,1,2,4,4,10,12,2,1,0,1,0,26,0,35,34,30,5
week 24,34,15,19,0,0,2,0,1,2,0,1,0,0,4,1,2,15,6,1,2,2,1,0,24,0,30,30,23,7
week 25,19,8,11,0,0,0,1,0,3,0,0,0,0,1,0,2,4,9,1,1,1,0,0,19,0,19,19,16,3
week 26,13,7,6,0,0,1,0,0,2,0,0,0,0,0,0,2,3,7,0,0,1,0,0,12,0,12,12,10,2
week 27,10,6,4,0,0,0,1,0,0,0,1,0,1,0,0,0,3,6,0,0,0,0,0,10,0,10,10,7,3
week 28,10,5,5,0,0,0,0,2,1,0,1,1,0,0,2,0,3,3,1,0,0,0,0,10,0,10,10,9,1
week 29,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,1,5,0,6,6,4,2
week 30,8,5,3,0,0,1,0,0,0,0,0,0,1,1,2,0,2,2,0,0,0,0,0,8,0,8,8,5,3
week 31,9,3,6,0,0,0,0,1,0,0,2,1,0,1,0,0,3,4,0,0,0,0,0,9,0,8,8,3,5
week 32,6,3,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,6,0,6,6,5,1
week 33,4,0,4,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,3,0,2,2,2,0
week 34,6,3,3,0,0,1,0,0,0,1,0,1,0,0,1,1,3,0,0,0,0,0,0,6,0,6,6,6,0
week 35,4,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,4,0,4,4,4,0
week 36,4,2,2,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,4,0,4,4,4,0
week 37,10,4,6,0,1,1,0,0,0,0,0,1,0,1,1,1,3,2,1,0,0,0,0,9,0,8,8,8,0
week 38,8,4,4,0,0,0,0,0,2,0,0,0,0,0,2,0,4,2,0,0,0,0,0,6,0,6,6,6,0
week 39,8,3,5,0,0,0,0,0,1,0,1,0,0,2,1,1,2,2,0,0,0,0,0,8,0,8,8,6,2
week 40,3,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,3,0,2,2,1,1
week 41,7,4,3,0,0,1,0,1,0,0,0,0,0,0,2,2,1,2,0,0,0,0,0,4,0,5,5,5,0
week 42,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,2,2,2,0
week 43,10,4,6,1,0,0,0,0,0,0,0,0,0,2,1,3,3,1,0,0,0,0,0,9,0,9,9,8,1
week 44,4,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,4,0,4,4,3,1
week 45,3,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,3,0,3,3,3,0
week 46,4,3,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,3,0,3,3,3,0
week 47,9,7,2,0,0,0,1,1,0,0,0,1,0,1,0,0,4,3,0,0,0,0,0,7,0,8,8,6,2
week 48,15,8,7,0,0,1,0,0,0,1,0,1,1,2,0,0,7,3,1,0,0,0,0,10,0,9,9,8,1
week 49,10,6,4,1,0,0,0,0,2,0,0,0,0,3,1,0,3,3,0,0,0,0,0,7,0,6,6,5,1
week 50,6,2,4,0,0,0,0,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,0,4,0,5,5,5,0
week 51,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
week 52,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,2,0,2,2,0,2
