,casos,tempmed,umidmed
116,1204,20.715514,89.537414
117,1269,21.3930272857,86.2642057143
118,998,21.1468255714,85.1706348571
119,961,24.7887785714,68.6640171429
120,659,22.5907277143,77.7340274286
121,418,17.8401358571,86.9132657143
122,323,14.24,92.5513271429
123,312,17.512755,91.1522108571
124,218,17.4753401429,90.8673471429
125,121,14.6692175714,94.945578
126,148,16.625102,96.3232657143
127,81,13.4869614286,95.484128
128,80,9.1591835714,94.6913271429
129,75,13.3673468571,94.4022108571
130,91,13.3568592857,96.4763798571
131,132,14.5365647143,82.1003397143
132,114,16.0484691429,82.8222797143
133,85,10.5901364286,91.1938771429
134,91,14.4603172857,82.625
135,94,16.5833334286,78.0476188571
136,80,14.5408161429,82.5476194286
137,117,15.604796,83.00653
138,113,15.0613405714,82.5470698571
139,108,17.8293374286,74.3845051429
140,126,16.6524941429,91.570578
141,142,18.8175964286,72.4484685714
142,122,15.9518368571,88.2709185714
143,112,15.5219388571,80.0801028571
144,143,16.726020428600002,83.2003405714
145,169,17.9960755714,85.5247271429
146,228,21.7729592857,76.9438767143
147,247,19.1536278571,87.1403071429
148,207,17.9307142857,91.0590814286
149,226,19.6064285714,90.1648985714
150,223,18.5616807143,92.5450308571
151,251,17.6597223333,89.6170623333
152,274,20.1198975714,91.4226182857
153,263,19.5753531429,91.12598
154,278,20.1292517143,94.0867342857
155,239,20.5153058571,91.7777208571
156,344,22.9601731429,87.0662085714
157,315,22.5161568571,87.9209185714
158,302,21.5551777143,98.1812171429
159,278,21.6129064286,95.9835612857
160,340,21.2422107143,94.0226194286
161,305,21.9533733333,92.168651
162,292,21.664079,86.8313923333
163,359,23.0187072857,78.0119051429
164,281,21.2759184286,84.7146942857
165,355,20.7423471429,89.2925165714
166,355,22.3408164286,87.9863951429
167,337,21.8095235714,86.5399665714
168,313,18.7363947143,87.3384351429
169,324,17.2100338571,88.625
170,295,19.5212587143,87.5204071429
171,245,20.7610542857,86.7831628571
172,229,18.0244895714,87.9690814286
173,196,17.368197,89.3231308571
174,188,16.0439797143,92.02653
175,183,16.8809525714,88.3078237143
176,153,16.7653061429,89.1530614286
177,187,16.8418371429,93.2653057143
178,135,15.7820295714,90.2993205714
179,137,16.7709752857,91.8843537143
180,117,13.66695,93.1632642857
181,122,14.7106011429,92.082482
182,94,13.1989797143,93.375
183,81,11.9438777143,87.7653057143
184,69,12.9668365714,93.8316314286
185,60,12.9285714286,87.2704071429
186,70,12.7346937143,89.0408157143
187,74,13.9591838571,83.1632652857
188,61,13.890306,82.7397957143
189,56,16.7219388571,87.3545914286
190,84,14.4132652857,88.5153057143
191,69,15.3962588571,80.3171777143
192,82,16.0079196,77.7891304
193,126,16.55087764,77.81634586
194,120,17.09383568,77.84356132
195,108,17.63679372,77.87077678
196,157,18.179751760000002,77.89799224000001
197,136,18.7227098,77.9252077
198,178,19.26566784,77.95242316
199,120,19.80862588,77.97963862
200,117,20.35158392,78.00685408
201,131,20.89454196,78.03406954
202,99,21.4375,78.061285
203,135,20.7559525714,81.154983
204,171,21.2261905714,75.1055105714
205,135,21.0523808571,81.0759385714
206,129,19.170238,83.6712378571
207,111,21.275,82.6476112857
208,131,21.0273808571,88.0127908571
209,169,20.8142857143,86.4971077143
210,148,20.390476,88.0826557143
211,221,21.3357142857,88.4949434286
212,191,21.7583157143,87.7956465714
213,317,20.0738094286,87.0857042857
214,221,20.0833334286,82.5778014286
215,223,20.5809522857,89.2176727143
216,227,21.3484848571,87.2949832857
217,206,22.5830511429,84.1958751429
218,176,21.415584,92.1748762857
219,202,22.1353894286,88.5140414286
220,188,21.4948054286,89.2843678571
221,151,21.3675325714,87.2988671429
222,148,20.3636365714,90.9508115714
223,163,19.6363634286,86.8965457143
224,129,17.4312771429,87.1233777143
225,98,20.9285711429,78.8384092857
226,116,21.9642857143,72.1514478571
227,110,20.4523808571,75.1310164286
228,114,20.5476191429,77.383462
229,79,14.6753248571,80.0429592857
230,52,15.103896,86.5655651429
231,63,15.8961038571,89.2256101429
232,99,17.4170995714,89.0572814286
233,97,14.961039,89.6390031429
234,68,16.0129871429,82.7164907143
235,51,15.3896101429,89.0412657143
236,29,12.3322511429,85.6901748571
237,51,17.279762,71.1486197143
238,32,18.6785714286,73.7848308571
239,36,17.8061592857,79.0311894286
240,42,17.9174432857,73.7542665714
241,44,13.9431818571,86.0876865714
242,52,16.6352817143,80.6599994286
243,64,15.8430737143,83.558683
244,49,14.2781385714,85.8448111429
245,73,15.5952381429,87.3466792857
246,78,17.365801,88.9823098571
247,68,18.9383117143,89.1457377143
248,92,19.2981602857,88.8015057143
249,94,21.8571428571,83.1292484286
250,86,20.8492761429,85.4296154286
