,dengue_cases,mean_temperature,mean_humidity
96,13,23.4644325,90.7468
97,11,26.4766665714,76.5266674286
98,20,25.4308073333,77.5444235
99,19,23.9091765714,81.9245387143
100,18,24.6548071429,78.9534934286
101,13,24.8236501429,79.0293757143
102,22,24.0137162857,78.0127171429
103,28,23.7193877143,84.219048
104,21,23.2100462857,91.0929457143
105,48,23.8740134286,82.2223125714
106,66,23.75906,91.3899188571
107,61,22.0210268571,76.5445277143
108,72,24.5072682857,89.1066628571
109,85,28.7940708571,68.4025465714
110,99,27.3482284286,76.6783248571
111,107,25.7444034286,88.030242
112,113,23.8210255714,94.3578584286
113,170,23.583606,91.4597777143
114,128,24.1181975714,90.0901362857
115,147,23.2702948571,88.0342422857
116,138,23.9018007143,87.8780705714
117,131,24.7900224286,87.8848077143
118,158,25.4108844286,78.8867342857
119,141,27.8111984,70.3936488
120,195,23.276630949999998,76.75714173335
121,123,18.7420635,83.1206346667
122,65,16.08333325,77.1785745
123,55,19.34,90.6333328
124,57,19.9625851429,91.3394562857
125,32,17.0207661429,92.331508
126,16,18.935091,99.2653057143
127,6,17.1120373333,87.5583333333
128,8,14.9839933571,74.9225685714
129,7,15.2229234286,89.4041805714
130,6,17.369388,78.7809524286
131,4,17.6108842857,69.2544218571
132,6,22.0772108571,54.3530608571
133,3,11.9714285714,84.71836714290001
134,3,18.327051,73.1420372857
135,4,19.4081631429,70.9863941429
136,3,16.3918368571,78.4642861429
137,6,20.4265611429,69.0732078571
138,6,15.953061,80.92449
139,3,20.2785714286,75.4738097143
140,4,16.6476188333,83.0087296667
141,3,20.6269838571,65.7015875714
142,4,18.2185374286,80.471089
143,5,15.657142799999999,76.5523804
144,3,17.864286,74.075
145,9,19.777211,85.1884361429
146,12,25.0404225714,78.1994451429
147,10,20.7414962857,83.2908157143
148,10,19.9876478571,87.57755
149,10,22.0534012857,82.9602042857
150,11,19.5435681667,87.1219666667
151,15,20.5880953333,83.46111
152,17,22.747449,84.765306
153,14,23.4155781429,85.2804085714
154,17,23.3360904,91.258572
155,15,23.4477778,78.5644448
156,26,25.0774351429,79.2175865714
157,12,24.497995,84.2785714286
158,23,23.7489795714,91.8204085714
159,15,22.1922661429,97.96505571430001
160,17,22.5969388571,94.6071428571
161,28,22.4984124286,92.27215
162,29,23.4891816667,86.9073103333
