,casos,tempmed,umidmed
86,8,20.487437,68.0917284286
87,3,22.2789842857,61.5217054286
88,5,20.792051999999998,74.6730745714
89,10,24.8648911429,60.1355648571
90,8,27.2248012857,50.9152778571
91,13,24.4807071429,70.5055677143
92,9,25.504762,58.5999997143
93,15,28.1804488571,52.5462458571
94,15,24.8405707143,65.0255008571
95,12,24.9771005714,65.6081695714
96,15,24.617708375,77.10059875
97,19,26.722221,66.7523138571
98,18,25.3427636667,71.9435093333
99,22,25.5310634286,68.310513
100,26,23.996904,77.9246291429
101,73,23.352041,79.5294342857
102,32,22.0125,84.175
103,40,21.9523808571,84.7857142857
104,29,23.1875,75.2321428571
105,65,21.8476188571,81.2476191429
106,62,22.5396827143,89.63492
107,80,19.5384614286,82.32967
108,74,22.5714285714,82.4717947143
109,113,28.3081631429,59.492261
110,142,25.9502222857,69.7018775714
111,129,22.4285714286,85.6380952857
112,143,21.7959182857,87.0306124286
113,127,20.8163264286,85.3367342857
114,119,21.5494504286,84.7032971429
115,137,21.1373625714,86.3406585714
116,138,20.7589285714,88.1517857143
117,204,20.6428571429,88.8571428571
118,186,21.8405611429,78.9477042857
119,183,25.2351646,70.718925
120,113,21.605677550000003,77.62136749999999
121,66,17.9761905,84.52381
122,48,13.0,91.0
123,57,18.4909092,83.9636368
124,34,17.8928571667,86.72619
125,11,15.9809524286,87.0
126,4,16.9489795714,88.4183671429
127,7,14.4761903333,90.8928566667
128,7,9.3571428571,88.0408161429
129,6,15.7428571429,83.4285714286
130,6,14.5238094286,87.8333337143
131,4,13.255102,83.2551014286
132,2,14.8673468571,81.8367347143
133,1,12.5934067143,82.2912085714
134,4,14.3910255,83.7948716667
135,5,18.0544215714,73.1741495714
136,1,15.4489795714,77.1428571429
137,4,16.60989,76.7142857143
138,3,16.887075,74.2204081429
139,7,19.4064625714,73.5153057143
140,2,18.0,78.6190478333
141,0,19.9489795714,69.6530614286
142,3,18.0476191667,74.1547616667
143,0,16.8,78.6
144,2,18.636364,69.772728
145,6,19.0879121429,83.6703295714
146,8,21.5824175714,81.6043957143
147,5,20.612245,78.122449
148,3,18.8482142857,80.6517857143
149,6,19.8392155714,84.3098034286
150,4,18.2307691667,87.9230766667
151,10,18.7346938571,82.22449
152,11,21.1697191667,77.5580588333
153,12,19.8823528571,81.5042014286
154,4,21.791667,78.416668
155,4,23.814285666700002,71.3206343333
156,30,23.7119046667,77.6714283333
157,23,23.0792778571,82.323391
158,15,21.2,91.7666666667
159,20,22.238961,84.54675399999999
160,20,23.0714286,82.3619048
161,12,22.3571428333,80.9166666667
162,14,22.878788,79.757576
163,23,23.7272725,72.840909
164,13,22.0545456,78.3090912
165,12,20.8666666667,89.4666666667
166,11,23.0,82.753846
167,25,21.9384616,84.446154
168,15,21.5,79.03846
169,18,19.1777776667,80.7333333333
170,7,19.3214285714,85.7142857143
171,8,22.9107694,79.963078
172,2,19.28846175,81.71153825
173,9,18.0833333333,90.6666666667
174,6,16.25,90.1818175
