,casos,tempmed,umidmed
66,6,18.9053571429,78.0107142857
67,4,21.2541661429,70.4630941429
68,1,21.3064657143,79.835584
69,4,17.9184524286,79.1977251429
70,4,17.8851538571,81.6962534286
71,5,16.8532668571,78.5125111429
72,2,16.4907224286,83.448805
73,2,18.779085,72.4966034286
74,0,17.320979,81.8245905714
75,2,18.499817,65.0355317143
76,1,17.914172,78.0610827143
77,3,14.2634921429,81.7846472857
78,1,17.9238797143,71.616246
79,1,16.4876752143,77.5529422857
80,0,18.6490615714,65.7306454286
81,1,16.3416665714,73.2424717143
82,1,18.3434522857,70.5327381429
83,0,18.5506301429,58.3500695714
84,1,16.7245797143,72.5478981429
85,0,18.2997198571,68.8733901429
86,1,18.9269841429,70.9013068571
87,0,20.8989495714,61.9625238571
88,1,18.1028361429,84.4692614286
89,1,20.8057675714,66.2024902857
90,1,24.961905,46.1428567143
91,4,22.7555558571,66.5952382857
92,4,21.6279762857,64.1553568571
93,4,25.3192308571,45.6888282857
94,4,22.230404,70.0414914286
95,2,21.1855157143,74.1185222857
96,2,24.475023375,66.119450875
97,0,23.2535002857,71.9552152857
98,0,22.4245583333,77.71255
99,2,20.528369,80.9971175714
100,3,21.7926585714,82.2650794286
101,2,20.60024,85.0056814286
102,4,18.5066666,86.973334
103,7,17.5476191429,90.0595234286
104,6,19.0420167143,89.8823528571
105,11,18.0,87.1836728571
106,15,20.2285714286,89.1809528571
107,10,17.2967032857,90.5274728571
108,26,19.1619051429,86.7523814286
109,22,24.6835885714,58.5201532857
110,48,23.1536562857,69.2234694286
111,72,19.3163264286,88.5102042857
112,120,18.1836735714,90.0816328571
113,189,19.1697098571,87.4554257143
114,144,19.2357142857,89.6142857143
115,132,18.3571428571,89.7589285714
116,162,18.2023808333,90.964285
117,186,18.6964285714,91.5803571429
118,212,16.5126051429,90.4789914286
119,247,20.863077,73.3316228
120,304,18.11136308335,83.04739056665
121,265,15.3596491667,92.7631583333
122,179,12.0,94.0
123,146,14.9076924,91.876922
124,82,15.4479166667,91.2395833333
125,66,13.7410714286,90.4017857143
126,48,13.377551,94.1938771429
127,22,15.4791666667,91.6666666667
128,12,7.7051283333,88.9230766667
129,6,12.4444442857,92.68254
130,5,13.3428571429,93.37619
131,1,11.8214285714,86.3303571429
132,2,10.9666665714,87.2142857143
133,2,12.0089285714,91.6964285714
134,3,10.990196,93.2647056667
135,2,14.3653061429,84.0319721429
136,0,12.088889,86.5222225
137,0,13.2142857143,89.2
138,1,12.2666667143,85.8
139,0,17.1964285714,77.9209185714
140,0,15.1555553333,85.8888893333
141,2,15.4395604286,82.2857142857
142,2,13.8589745,89.1666666667
143,1,13.8,95.2
144,0,14.227273,73.5
145,1,17.05,84.6125
146,1,17.904762,87.8928571429
147,1,17.7142857143,86.1746028571
148,1,15.9404762857,88.380952
149,0,17.8067131667,88.1099533333
150,0,16.3368056667,90.75
151,2,16.1190477143,88.8571428571
152,2,17.6339871667,88.8823533333
153,4,18.8142858333,87.7190483333
154,2,17.230769,88.576925
155,1,19.921795,73.29615425
156,3,23.153846,71.05769175
157,1,20.1765871667,82.1011905
158,1,18.814815,90.4444453333
159,2,20.2006802857,80.5136054286
160,3,20.2190476,79.4166664
161,0,18.0555556667,90.5
162,2,18.717949,85.9487166667
163,3,18.6309525,84.3928566667
164,3,19.33928575,84.375
165,2,18.1734692857,88.6122442857
166,1,20.0111113333,84.9111116667
167,1,17.8,88.0666672
168,2,15.3333333333,88.42857
169,3,14.5714286667,87.0595233333
170,1,15.6428571667,91.3928566667
171,1,18.2285714286,90.3106228571
172,0,16.6666668,85.85
173,0,15.3076921667,92.115385
174,1,15.0,89.0757573333
175,1,12.788889,90.7666666667
176,1,13.9692308,94.0
177,0,13.75,93.75
