,casos,tempmed,umidmed
346,0,22.2825631429,62.5075562857
347,0,19.3665967143,55.920230000000004
348,0,23.4591237143,48.8765637143
349,0,25.214811,41.971548
350,0,25.6917018571,41.726638
351,0,23.4065127143,61.0520578571
352,0,29.0868697143,38.7750028571
353,0,29.4189075714,46.309957
354,0,22.7237395714,69.9624847143
355,0,20.380182,77.852158
356,0,23.6805971429,73.057208
357,0,22.4879995714,66.226338
358,0,24.07507,75.1335662857
359,0,24.3140405714,74.5305384286
360,0,23.3303571429,65.1489388571
361,0,23.71134451432,65.81502548568001
362,0,24.09233188574,66.48111211426
363,0,24.47331925716,67.14719874284
364,0,24.854306628579998,67.81328537142
365,0,25.235294,68.479372
366,0,24.4737395714,75.095415
367,0,24.6349791429,75.12756
368,0,24.8918068571,58.65596
369,1,25.1721417143,58.8122181429
370,0,24.876751,67.9806072857
371,0,21.7226892857,83.4771337143
372,0,22.8387954286,86.5942787143
373,0,23.270756,76.5386591429
374,0,23.1725921429,70.7396008571
375,0,23.1013657143,79.6091342857
376,0,23.4844185714,67.3023324286
377,0,25.6554622857,61.5666374286
378,0,24.7964437143,69.0312397143
379,0,22.3917261429,67.8123201429
380,0,22.380719,60.8354942857
381,0,22.7454228571,62.9629921429
382,0,22.5204834286,66.3955902857
383,0,22.05042,62.6639072857
384,0,20.537373,64.4934135714
385,0,22.0358247143,57.6192385714
386,0,23.7695707143,65.1100445714
387,0,21.9057541429,69.7665278571
388,0,20.7344538571,72.1442672857
389,0,19.282563,65.5479922857
390,0,20.8581932857,61.5263135714
391,0,18.859769,59.6715022857
392,0,18.2373948571,55.4915834286
393,0,20.6574627143,55.2987155714
394,0,20.5166318571,51.5171934286
395,0,19.3329832857,51.5047671429
396,0,18.377311,57.884385
397,0,20.9396008571,58.9188084286
398,0,22.2153944286,56.1645174286
399,0,22.6964288571,49.6755815714
400,0,21.5692171429,58.7681361429
401,0,27.3110644286,45.9015927143
402,0,26.8604322857,44.396655
403,0,24.7058824286,51.7300995714
404,0,26.0168062857,55.0145558571
405,0,25.4318394286,63.6834518571
406,0,22.8371097143,74.2412462857
407,0,21.8247547143,79.575078
408,0,23.9956932857,67.7383614286
409,0,23.7080878571,74.2714861429
410,0,21.9594957143,80.9677138571
411,0,22.2372202857,73.9170514286
412,0,24.722794,65.4046781429
413,0,23.2192112857,79.283297
414,0,22.0462182857,76.6250515714
415,0,23.172794,85.0361614286
416,0,22.442752,76.5842507143
417,0,22.9443277143,78.2371094286
418,0,22.2376815714,91.2079382857
419,0,24.4369745714,77.0338991429
